text,hazard,benefit,old_text
"Fighting between Ethiopian federal forces and TPLF forces erupted again in late August, shattering a six-month humanitarian truce as the #TPLF forces reignited the conflict violating the humanitarian truce! #DisarmTPLF @USAmbUN @AFP @bpolitics @CNNAfrica @EU_Commission",1.0,0.0,"Fighting between Ethiopian federal forces and TPLF forces erupted again in late August, shattering a six-month humanitarian truce as the #TPLF forces reignited the conflict violating the humanitarian truce! #DisarmTPLF @USAmbUN @AFP @bpolitics @CNNAfrica @EU_Commission"
Gut could sound early warning alarm for motor neuron disease https--//t.co/64eoIDx7DX{ https--//t.co/jbAjet7cJs,1.0,0.3333333333333333,Gut could sound early warning alarm for motor neuron disease https--//t.co/64eoIDx7DX{ https--//t.co/jbAjet7cJs
@Euphoria623 after waiting months hes finally in discord but for the sole purpose to talk shit and wanna fight me.. Cant even make this shit up,0.25,0.0,@Euphoria623 after waiting months hes finally in discord but for the sole purpose to talk shit and wanna fight me.. Cant even make this shit up
looks like a disease https--//t.co/ddkHnHKQRI https--//t.co/KTR6yzXnAv,0.6666666666666666,0.0,looks like a disease https--//t.co/ddkHnHKQRI https--//t.co/KTR6yzXnAv
"trophyWhiteList Winners--  @WingnutVonWinkl,@TamiSatya5,@HailingWang5,@shaoyi93651337,@samanehashemi,@EvertonStaub,@dreaala,@Ihabreslan  For MINT Join Discord https--//t.co/bBDxnBBUeY",0.3333333333333333,0.3333333333333333,"🏆WhiteList Winners--  @WingnutVonWinkl,@TamiSatya5,@HailingWang5,@shaoyi93651337,@samanehashemi,@EvertonStaub,@dreaala,@Ihabreslan  For MINT Join Discord https--//t.co/bBDxnBBUeY"
"9/15 “flag: Eritrea’s re-entry intoflag: Ethiopiahas made matters significantly worse, it needs to withdraw & respecsflag: Ethiopia’s sovereignty-as should others who are fuelling the conflict,” @MikeHammerUSA said.  Dear @IntlCrimCourt @UN @NATO intervene to #EndTigrayGenocide https--//t.co/aLsfgCgQQp",0.3333333333333333,0.6666666666666666,"9/15 “🇪🇷’s re-entry into🇪🇹has made matters significantly worse, it needs to withdraw & respecs🇪🇹’s sovereignty-as should others who are fuelling the conflict,” @MikeHammerUSA said.  Dear @IntlCrimCourt @UN @NATO intervene to #EndTigrayGenocide https--//t.co/aLsfgCgQQp"
@PippaCrerar Charade and dangerous power vacuum.,0.6666666666666666,0.0,@PippaCrerar Charade and dangerous power vacuum.
Emergency Preparedness Session 3 is THIS Wednesday-- Disaster Mental Health Care Support for Health Center Personne https--//t.co/lKS1arpZgX https--//t.co/zRURQijnY9,0.0,0.6666666666666666,Emergency Preparedness Session 3 is THIS Wednesday-- Disaster Mental Health Care Support for Health Center Personne https--//t.co/lKS1arpZgX https--//t.co/zRURQijnY9
@Grenady2 Are yyou aware of  what is happening with Uniswap https--//t.co/pcKLpSRbjA,0.0,0.3333333333333333,@Grenady2 Are yyou aware of  what is happening with Uniswap https--//t.co/pcKLpSRbjA
Jesus christ it’s worse than post Financial Crisis Bush. https--//t.co/6vyPySUAGf,0.0,0.0,Jesus christ it’s worse than post Financial Crisis Bush. https--//t.co/6vyPySUAGf
